id,idpel,nama,koordinat_x,koordinat_y,nama_kabupaten,nama_kecamatan,nama_kelurahan
696147,533212906731,"PJU ****** *** ******** *",-6.97659300000000,108.62493200000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
696148,533212906892,"PJU ****** *** **********",-6.97934300000000,108.63301000000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
696149,533212906884,"PJU ****** *** **********",-6.97533300000000,108.63467200000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
696150,533212906868,"PJU ****** *** **********",-6.97875800000000,108.63187200000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
696151,533212910814,"PJU  ******** **",-6.98002240000000,108.59234890000000,"KAB. KUNINGAN",CIAWIGEBANG,KADURAMA
696152,533212910871,"PJU  *** **",-6.96913555215560,108.57800222933000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWIGEBANG
696153,533212910830,"PJU  *** **",-6.98005850000000,108.59235620000000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWIGEBANG
696154,533212910901,"PJU ***** *** **",-6.98002460000000,108.59236470000000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696155,533212921044,"PJU *** **** ******",-6.99552300000000,108.63325000000000,"KAB. KUNINGAN",LURAGUNG,CIKANDANG
696156,533212924896,"PJU *** **** *** *******",-6.98223400000000,108.45638100000000,"KAB. KUNINGAN",CIGUGUR,CILEULEUY
696157,533212923907,"PJU *** **** *******",-6.99806800000000,108.41147200000000,"KAB. KUNINGAN",DARMA,BAKOM
696158,533212923851,"PJU *** **** *******",-7.03612120000000,108.41229950000000,"KAB. KUNINGAN",DARMA,SAKERTATIMUR
696159,533212924025,"PJU *** **** *** ******",-7.09224300000000,108.61233500000000,"KAB. KUNINGAN",CIWARU,CITIKUR
696160,533212924719,"PJU *** **** *** *******",-7.08863500000000,108.65504000000000,"KAB. KUNINGAN",KARANGKANCANA,KADUAGUNG
696161,533212920622,"PJU *** **** *** *******",-7.05054500000000,108.61428700000000,"KAB. KUNINGAN",MALEBER,GARAHAJI
696162,533212925474,"PJU *** **** *** *******",-7.01761300000000,108.62112700000000,"KAB. KUNINGAN",LURAGUNG,MARGASARI
696163,533212922294,"PJU *** **** *******",-7.01231060000000,108.68839720000000,"KAB. KUNINGAN",CIMAHI,MARGAMUKTI
696164,533212925673,"PJU *** **** *** ********",-6.98760000000000,108.57990000000000,"KAB. KUNINGAN",CIAWIGEBANG,PAJAWANLOR
696165,533212961804,"PJU ****** *******",-6.96020200000000,108.68453700000000,"KAB. KUNINGAN",CIDAHU,CIEURIH
696166,533211958673,"PJU ********** *** *** *",-6.93906210000000,108.69864790000000,"KAB. KUNINGAN",CIDAHU,JATIMULYA
696175,533211948929,"PJU *********",-6.99911960000000,108.54231440000000,"KAB. KUNINGAN",GARAWANGI,GARAWANGI
696176,533211948937,"PJU *********",-6.99840580000000,108.47334100000000,"KAB. KUNINGAN",KUNINGAN,CIBINUANG
696179,533211970927,"PJU **** ******* ********",-6.98309710000000,108.36473650000000,"KAB. MAJALENGKA",CIKIJING,KANCANA
696187,533211949004,"PJU *********",-6.95390040000000,108.48528610000000,"KAB. KUNINGAN",KUNINGAN,KASTURI
696190,533211949038,"PJU ****** *******",-6.96126150000000,108.46423260000000,"KAB. KUNINGAN",CIGUGUR,CIPARI
696193,533211951850,"PJU *** *** * ***",-6.98872370000000,108.55985950000000,"KAB. KUNINGAN",LEBAKWANGI,PAJAWANKIDUL
696197,533211955286,"PJU *****",-6.97813190000000,108.50104560000000,"KAB. KUNINGAN",KUNINGAN,WINDUSENGKAHAN
696198,533212910897,"PJU ***** *** **",-6.96507938049640,108.57777759433000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696199,533212910793,"PJU ***** *** **",-6.96507938049640,108.57777759433000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696200,533212910777,"PJU ******** **",-6.96507938049640,108.57777759433000,"KAB. KUNINGAN",CIAWIGEBANG,SUKARAJA
696201,533212910822,"PJU  ***** *** **",-6.96507938049640,108.57777759433000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696202,533212910806,"PJU ***** *** **",-6.96507938049640,108.57777759433000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696203,533212905199,"PJU ****** ******** **",-6.98738700000000,108.64154800000000,"KAB. KUNINGAN",CIDAHU,CIHIDEUNGGIRANG
696204,533212916332,"PJU *** **** *** ******",-7.00373200000000,108.54368800000000,"KAB. KUNINGAN",GARAWANGI,SUKAIMUT
696205,533212906922,"PJU ****** *** **********",-6.97833500000000,108.63796300000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
696206,533212906850,"PJU ****** *** **********",-6.97690000000000,108.63970000000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
696207,533212915554,"PJU *** **** *** *******",-6.99468300000000,108.51554700000000,"KAB. KUNINGAN",GARAWANGI,LENGKONG
696208,533212915521,"PJU *** **** *** *******",-7.02250700000000,108.52713300000000,"KAB. KUNINGAN",GARAWANGI,PAKEMBANGAN
696209,533212918900,"PJU *** **** *******",-7.04854749000000,108.49867432000000,"KAB. KUNINGAN",CINIRU,CIJEMIT
696210,533212916087,"PJU *** **** *** *******",-6.97291600000000,108.59869100000000,"KAB. KUNINGAN",KALIMANGGIS,KALIMANGGISKULON
696211,533212919640,"PJU *** **** ********",-6.96874000000000,108.50184830000000,"KAB. KUNINGAN",KUNINGAN,CIPORANG
696212,533212916252,"PJU *** **** *** ******",-6.99473200000000,108.54168800000000,"KAB. KUNINGAN",GARAWANGI,SUKAMULYA
696213,533212915268,"PJU *** **** ** ******",-6.99548865000000,108.54824330000000,"KAB. KUNINGAN",GARAWANGI,SUKAMULYA
696214,533212919409,"PJU *** **** *** *******",-6.96081550000000,108.49226820000000,"KAB. KUNINGAN",KUNINGAN,CIPORANG
696215,533212925305,"PJU *** **** ** ******",-7.02562800000000,108.63594500000000,"KAB. KUNINGAN",LURAGUNG,CIGEDANG
696216,533212923239,"PJU *** **** *******",-6.98629300000000,108.44036900000000,"KAB. KUNINGAN",KADUGEDE,TINGGAR
696217,533212922158,"PJU *** **** *** *******",-7.00911800000000,108.68904200000000,"KAB. KUNINGAN",CIMAHI,MARGAMUKTI
696218,533212925417,"PJU *** **** *** ******",-7.00958700000000,108.64113300000000,"KAB. KUNINGAN",LURAGUNG,DUKUHMAJA
696219,533212923773,"PJU *** **** ** ******",-7.02473220000000,108.39514530000000,"KAB. KUNINGAN",DARMA,CIPASUNG
696224,533211948753,"PJU ********",-6.97516070000000,108.53054770000000,"KAB. KUNINGAN",SINDANGAGUNG,KERTAUNGARAN
696226,533211948779,"PJU *******",-6.96939830000000,108.51515320000000,"KAB. KUNINGAN",KUNINGAN,ANCARAN
696228,533211948808,"PJU ********",-6.99472860000000,108.51567430000000,"KAB. KUNINGAN",GARAWANGI,LENGKONG
696229,533211948816,"PJU *******",-6.95703440000000,108.50672630000000,"KAB. KUNINGAN",KUNINGAN,PADAREK
696232,533211952255,"PJU *********",-6.99999110000000,108.58678400000000,"KAB. KUNINGAN",LEBAKWANGI,SINDANG
